TERM,MEANING
S32413S,"Disp fx of anterior wall of unspecified acetabulum, sequela"
S32414A,"Nondisp fx of anterior wall of right acetabulum, init"
S32414B,"Nondisp fx of anterior wall of right acetab, init for opn fx"
S32414D,"Nondisp fx of ant wall of r acetab, subs for fx w routn heal"
S32414G,"Nondisp fx of ant wall of r acetab, subs for fx w delay heal"
S32414K,"Nondisp fx of ant wall of r acetab, subs for fx w nonunion"
S32414S,"Nondisp fx of anterior wall of right acetabulum, sequela"
S32415A,"Nondisp fx of anterior wall of left acetabulum, init"
S32415B,"Nondisp fx of anterior wall of left acetab, init for opn fx"
S32415D,"Nondisp fx of ant wall of l acetab, subs for fx w routn heal"
S32415G,"Nondisp fx of ant wall of l acetab, subs for fx w delay heal"
S32415K,"Nondisp fx of ant wall of l acetab, subs for fx w nonunion"
S32415S,"Nondisp fx of anterior wall of left acetabulum, sequela"
S32416A,"Nondisp fx of anterior wall of unsp acetabulum, init"
S32416B,"Nondisp fx of anterior wall of unsp acetab, init for opn fx"
S32416D,"Nondisp fx of ant wl of unsp acetab, 7thD"
S32416G,"Nondisp fx of ant wl of unsp acetab, 7thG"
S32416K,"Nondisp fx of ant wl of unsp acetab, subs for fx w nonunion"
S32416S,"Nondisp fx of anterior wall of unsp acetabulum, sequela"
S32421A,"Disp fx of posterior wall of right acetabulum, init"
S32421B,"Disp fx of posterior wall of right acetab, init for opn fx"
S32421D,"Disp fx of post wall of r acetab, subs for fx w routn heal"
S32421G,"Disp fx of post wall of r acetab, subs for fx w delay heal"
S32421K,"Disp fx of post wall of right acetab, subs for fx w nonunion"
S32421S,"Disp fx of posterior wall of right acetabulum, sequela"
S32422A,"Disp fx of posterior wall of left acetabulum, init"
S32422B,"Disp fx of posterior wall of left acetab, init for opn fx"
S32422D,"Disp fx of post wall of l acetab, subs for fx w routn heal"
S32422G,"Disp fx of post wall of l acetab, subs for fx w delay heal"
S32422K,"Disp fx of post wall of left acetab, subs for fx w nonunion"
S32422S,"Disp fx of posterior wall of left acetabulum, sequela"
S32423A,"Disp fx of posterior wall of unsp acetabulum, init"
S32423B,"Disp fx of posterior wall of unsp acetab, init for opn fx"
S32423D,"Disp fx of post wl of unsp acetab, subs for fx w routn heal"
S32423G,"Disp fx of post wl of unsp acetab, subs for fx w delay heal"
S32423K,"Disp fx of post wall of unsp acetab, subs for fx w nonunion"
S32423S,"Disp fx of posterior wall of unspecified acetabulum, sequela"
S32424A,"Nondisp fx of posterior wall of right acetabulum, init"
S32424B,"Nondisp fx of post wall of right acetab, init for opn fx"
S32424D,"Nondisp fx of post wl of r acetab, subs for fx w routn heal"
S32424G,"Nondisp fx of post wl of r acetab, subs for fx w delay heal"
S32424K,"Nondisp fx of post wall of r acetab, subs for fx w nonunion"
S32424S,"Nondisp fx of posterior wall of right acetabulum, sequela"
S32425A,"Nondisp fx of posterior wall of left acetabulum, init"
S32425B,"Nondisp fx of posterior wall of left acetab, init for opn fx"
S32425D,"Nondisp fx of post wl of l acetab, subs for fx w routn heal"
S32425G,"Nondisp fx of post wl of l acetab, subs for fx w delay heal"
S32425K,"Nondisp fx of post wall of l acetab, subs for fx w nonunion"
S32425S,"Nondisp fx of posterior wall of left acetabulum, sequela"
S32426A,"Nondisp fx of posterior wall of unsp acetabulum, init"
S32426B,"Nondisp fx of posterior wall of unsp acetab, init for opn fx"
S32426D,"Nondisp fx of post wl of unsp acetab, 7thD"
S32426G,"Nondisp fx of post wl of unsp acetab, 7thG"
S32426K,"Nondisp fx of post wl of unsp acetab, subs for fx w nonunion"
S32426S,"Nondisp fx of posterior wall of unsp acetabulum, sequela"
S32431A,"Disp fx of anterior column of right acetabulum, init"
S32431B,"Disp fx of anterior column of right acetab, init for opn fx"
S32431D,"Disp fx of ant column of r acetab, subs for fx w routn heal"
S32431G,"Disp fx of ant column of r acetab, subs for fx w delay heal"
S32431K,"Disp fx of ant column of r acetab, subs for fx w nonunion"
S32431S,"Disp fx of anterior column of right acetabulum, sequela"
S32432A,"Disp fx of anterior column of left acetabulum, init"
S32432B,"Disp fx of anterior column of left acetab, init for opn fx"
S32432D,"Disp fx of ant column of l acetab, subs for fx w routn heal"
S32432G,"Disp fx of ant column of l acetab, subs for fx w delay heal"
S32432K,"Disp fx of ant column of left acetab, subs for fx w nonunion"
S32432S,"Disp fx of anterior column of left acetabulum, sequela"
S32433A,"Disp fx of anterior column of unsp acetabulum, init"
S32433B,"Disp fx of anterior column of unsp acetab, init for opn fx"
S32433D,"Disp fx of ant column of unsp acetab, 7thD"
S32433G,"Disp fx of ant column of unsp acetab, 7thG"
S32433K,"Disp fx of ant column of unsp acetab, subs for fx w nonunion"
S32433S,"Disp fx of anterior column of unsp acetabulum, sequela"
S32434A,"Nondisp fx of anterior column of right acetabulum, init"
S32434B,"Nondisp fx of ant column of right acetab, init for opn fx"
S32434D,"Nondisp fx of ant column of r acetab, 7thD"
S32434G,"Nondisp fx of ant column of r acetab, 7thG"
S32434K,"Nondisp fx of ant column of r acetab, subs for fx w nonunion"
S32434S,"Nondisp fx of anterior column of right acetabulum, sequela"
S32435A,"Nondisp fx of anterior column of left acetabulum, init"
S32435B,"Nondisp fx of ant column of left acetab, init for opn fx"
S32435D,"Nondisp fx of ant column of l acetab, 7thD"
S32435G,"Nondisp fx of ant column of l acetab, 7thG"
S32435K,"Nondisp fx of ant column of l acetab, subs for fx w nonunion"
S32435S,"Nondisp fx of anterior column of left acetabulum, sequela"
S32436A,"Nondisp fx of anterior column of unsp acetabulum, init"
S32436B,"Nondisp fx of ant column of unsp acetab, init for opn fx"
S32436D,"Nondisp fx of ant column of unsp acetab, 7thD"
S32436G,"Nondisp fx of ant column of unsp acetab, 7thG"
S32436K,"Nondisp fx of ant column of unsp acetab, 7thK"
S32436S,"Nondisp fx of anterior column of unsp acetabulum, sequela"
S32441A,"Disp fx of posterior column of right acetabulum, init"
S32441B,"Disp fx of posterior column of right acetab, init for opn fx"
S32441D,"Disp fx of post column of r acetab, subs for fx w routn heal"
S32441G,"Disp fx of post column of r acetab, subs for fx w delay heal"
S32441K,"Disp fx of post column of r acetab, subs for fx w nonunion"
S32441S,"Disp fx of posterior column of right acetabulum, sequela"
S32442A,"Disp fx of posterior column of left acetabulum, init"
S32442B,"Disp fx of posterior column of left acetab, init for opn fx"
S32442D,"Disp fx of post column of l acetab, subs for fx w routn heal"
S32442G,"Disp fx of post column of l acetab, subs for fx w delay heal"
S32442K,"Disp fx of post column of l acetab, subs for fx w nonunion"
S32442S,"Disp fx of posterior column of left acetabulum, sequela"
S32443A,"Disp fx of posterior column of unsp acetabulum, init"
S32443B,"Disp fx of posterior column of unsp acetab, init for opn fx"
S32443D,"Disp fx of post column of unsp acetab, 7thD"
S32443G,"Disp fx of post column of unsp acetab, 7thG"
S32443K,"Disp fx of post column of unsp acetab, 7thK"
S32443S,"Disp fx of posterior column of unsp acetabulum, sequela"
S32444A,"Nondisp fx of posterior column of right acetabulum, init"
S32444B,"Nondisp fx of post column of right acetab, init for opn fx"
S32444D,"Nondisp fx of post column of r acetab, 7thD"
S32444G,"Nondisp fx of post column of r acetab, 7thG"
S32444K,"Nondisp fx of post column of r acetab, 7thK"
S32444S,"Nondisp fx of posterior column of right acetabulum, sequela"
S32445A,"Nondisp fx of posterior column of left acetabulum, init"
S32445B,"Nondisp fx of post column of left acetab, init for opn fx"
S32445D,"Nondisp fx of post column of l acetab, 7thD"
S32445G,"Nondisp fx of post column of l acetab, 7thG"
S32445K,"Nondisp fx of post column of l acetab, 7thK"
S32445S,"Nondisp fx of posterior column of left acetabulum, sequela"
S32446A,"Nondisp fx of posterior column of unsp acetabulum, init"
S32446B,"Nondisp fx of post column of unsp acetab, init for opn fx"
S32446D,"Nondisp fx of post column of unsp acetab, 7thD"
S32446G,"Nondisp fx of post column of unsp acetab, 7thG"
S32446K,"Nondisp fx of post column of unsp acetab, 7thK"
S32446S,"Nondisp fx of posterior column of unsp acetabulum, sequela"
S32451A,"Displaced transverse fracture of right acetabulum, init"
S32451B,"Displaced transverse fx right acetabulum, init for opn fx"
S32451D,"Displ transverse fx right acetab, subs for fx w routn heal"
S32451G,"Displ transverse fx right acetab, subs for fx w delay heal"
S32451K,"Displaced transverse fx right acetab, subs for fx w nonunion"
S32451S,"Displaced transverse fracture of right acetabulum, sequela"
S32452A,"Displaced transverse fracture of left acetabulum, init"
S32452B,"Displaced transverse fx left acetabulum, init for opn fx"
S32452D,"Displ transverse fx left acetab, subs for fx w routn heal"
S32452G,"Displ transverse fx left acetab, subs for fx w delay heal"
S32452K,"Displaced transverse fx left acetab, subs for fx w nonunion"
S32452S,"Displaced transverse fracture of left acetabulum, sequela"
S32453A,"Displaced transverse fracture of unsp acetabulum, init"
S32453B,"Displaced transverse fx unsp acetabulum, init for opn fx"
S32453D,"Displ transverse fx unsp acetab, subs for fx w routn heal"
S32453G,"Displ transverse fx unsp acetab, subs for fx w delay heal"
S32453K,"Displaced transverse fx unsp acetab, subs for fx w nonunion"
S32453S,"Displaced transverse fracture of unsp acetabulum, sequela"
S32454A,"Nondisplaced transverse fracture of right acetabulum, init"
S32454B,"Nondisp transverse fx right acetabulum, init for opn fx"
S32454D,"Nondisp transverse fx right acetab, subs for fx w routn heal"
S32454G,"Nondisp transverse fx right acetab, subs for fx w delay heal"
S32454K,"Nondisp transverse fx right acetab, subs for fx w nonunion"
S32454S,"Nondisp transverse fracture of right acetabulum, sequela"
S32455A,"Nondisplaced transverse fracture of left acetabulum, init"
S32455B,"Nondisp transverse fx left acetabulum, init for opn fx"
S32455D,"Nondisp transverse fx left acetab, subs for fx w routn heal"
S32455G,"Nondisp transverse fx left acetab, subs for fx w delay heal"
S32455K,"Nondisp transverse fx left acetab, subs for fx w nonunion"
S32455S,"Nondisplaced transverse fracture of left acetabulum, sequela"
S32456A,"Nondisplaced transverse fracture of unsp acetabulum, init"
S32456B,"Nondisp transverse fx unsp acetabulum, init for opn fx"
S32456D,"Nondisp transverse fx unsp acetab, subs for fx w routn heal"
S32456G,"Nondisp transverse fx unsp acetab, subs for fx w delay heal"
S32456K,"Nondisp transverse fx unsp acetab, subs for fx w nonunion"
S32456S,"Nondisplaced transverse fracture of unsp acetabulum, sequela"
S32461A,"Displaced associated transv/post fx right acetabulum, init"
S32461B,"Displaced assoc transv/post fx right acetab, init for opn fx"
S32461D,"Displ assoc transv/post fx r acetab, 7thD"
S32461G,"Displ assoc transv/post fx r acetab, 7thG"
S32461K,"Displ assoc transv/post fx r acetab, subs for fx w nonunion"
S32461S,"Displaced associated transv/post fx right acetab, sequela"
S32462A,"Displaced associated transv/post fx left acetabulum, init"
S32462B,"Displaced assoc transv/post fx left acetab, init for opn fx"
S32462D,"Displ assoc transv/post fx l acetab, 7thD"
S32462G,"Displ assoc transv/post fx l acetab, 7thG"
S32462K,"Displ assoc transv/post fx l acetab, subs for fx w nonunion"
S32462S,"Displaced associated transv/post fx left acetabulum, sequela"
S32463A,"Displaced associated transv/post fx unsp acetabulum, init"
S32463B,"Displaced assoc transv/post fx unsp acetab, init for opn fx"
S32463D,"Displ assoc transv/post fx unsp acetab, 7thD"
S32463G,"Displ assoc transv/post fx unsp acetab, 7thG"
S32463K,"Displ assoc transv/post fx unsp acetab, 7thK"
S32463S,"Displaced associated transv/post fx unsp acetabulum, sequela"
S32464A,"Nondisp associated transv/post fx right acetabulum, init"
S32464B,"Nondisp assoc transv/post fx right acetab, init for opn fx"
S32464D,"Nondisp assoc transv/post fx r acetab, 7thD"
S32464G,"Nondisp assoc transv/post fx r acetab, 7thG"
S32464K,"Nondisp assoc transv/post fx r acetab, 7thK"
S32464S,"Nondisp associated transv/post fx right acetabulum, sequela"
S32465A,"Nondisp associated transv/post fx left acetabulum, init"
S32465B,"Nondisp assoc transv/post fx left acetab, init for opn fx"
S32465D,"Nondisp assoc transv/post fx l acetab, 7thD"
S32465G,"Nondisp assoc transv/post fx l acetab, 7thG"
S32465K,"Nondisp assoc transv/post fx l acetab, 7thK"
S32465S,"Nondisp associated transv/post fx left acetabulum, sequela"
S32466A,"Nondisp associated transv/post fx unsp acetabulum, init"
S32466B,"Nondisp assoc transv/post fx unsp acetab, init for opn fx"
S32466D,"Nondisp assoc transv/post fx unsp acetab, 7thD"
S32466G,"Nondisp assoc transv/post fx unsp acetab, 7thG"
S32466K,"Nondisp assoc transv/post fx unsp acetab, 7thK"
S32466S,"Nondisp associated transv/post fx unsp acetabulum, sequela"
S32471A,"Disp fx of medial wall of right acetabulum, init for clos fx"
S32471B,"Disp fx of medial wall of right acetabulum, init for opn fx"
S32471D,"Disp fx of med wall of r acetab, subs for fx w routn heal"
S32471G,"Disp fx of med wall of r acetab, subs for fx w delay heal"
S32471K,"Disp fx of med wall of right acetab, subs for fx w nonunion"
S32471S,"Disp fx of medial wall of right acetabulum, sequela"
S32472A,"Disp fx of medial wall of left acetabulum, init for clos fx"
S32472B,"Disp fx of medial wall of left acetabulum, init for opn fx"
S32472D,"Disp fx of med wall of left acetab, subs for fx w routn heal"
S32472G,"Disp fx of med wall of left acetab, subs for fx w delay heal"
S32472K,"Disp fx of med wall of left acetab, subs for fx w nonunion"
S32472S,"Disp fx of medial wall of left acetabulum, sequela"
S32473A,"Disp fx of medial wall of unsp acetabulum, init for clos fx"
S32473B,"Disp fx of medial wall of unsp acetabulum, init for opn fx"
S32473D,"Disp fx of med wall of unsp acetab, subs for fx w routn heal"
S32473G,"Disp fx of med wall of unsp acetab, subs for fx w delay heal"
S32473K,"Disp fx of med wall of unsp acetab, subs for fx w nonunion"
S32473S,"Disp fx of medial wall of unspecified acetabulum, sequela"
S32474A,"Nondisp fx of medial wall of right acetabulum, init"
S32474B,"Nondisp fx of medial wall of right acetab, init for opn fx"
S32474D,"Nondisp fx of med wall of r acetab, subs for fx w routn heal"
S32474G,"Nondisp fx of med wall of r acetab, subs for fx w delay heal"
S32474K,"Nondisp fx of med wall of r acetab, subs for fx w nonunion"
S32474S,"Nondisp fx of medial wall of right acetabulum, sequela"
S32475A,"Nondisp fx of medial wall of left acetabulum, init"
S32475B,"Nondisp fx of medial wall of left acetab, init for opn fx"
S32475D,"Nondisp fx of med wall of l acetab, subs for fx w routn heal"
S32475G,"Nondisp fx of med wall of l acetab, subs for fx w delay heal"
S32475K,"Nondisp fx of med wall of l acetab, subs for fx w nonunion"
S32475S,"Nondisp fx of medial wall of left acetabulum, sequela"
S32476A,"Nondisp fx of medial wall of unsp acetabulum, init"
S32476B,"Nondisp fx of medial wall of unsp acetab, init for opn fx"
S32476D,"Nondisp fx of med wl of unsp acetab, 7thD"
S32476G,"Nondisp fx of med wl of unsp acetab, 7thG"
S32476K,"Nondisp fx of med wl of unsp acetab, subs for fx w nonunion"
S32476S,"Nondisp fx of medial wall of unspecified acetabulum, sequela"
S32481A,"Displaced dome fracture of right acetabulum, init"
S32481B,"Displaced dome fracture of right acetabulum, init for opn fx"
S32481D,"Displaced dome fx right acetabulum, subs for fx w routn heal"
S32481G,"Displaced dome fx right acetabulum, subs for fx w delay heal"
S32481K,"Displaced dome fx right acetabulum, subs for fx w nonunion"
S32481S,"Displaced dome fracture of right acetabulum, sequela"
S32482A,"Displaced dome fracture of left acetabulum, init for clos fx"
S32482B,"Displaced dome fracture of left acetabulum, init for opn fx"
S32482D,"Displaced dome fx left acetabulum, subs for fx w routn heal"
S32482G,"Displaced dome fx left acetabulum, subs for fx w delay heal"
S32482K,"Displaced dome fx left acetabulum, subs for fx w nonunion"
S32482S,"Displaced dome fracture of left acetabulum, sequela"
S32483A,"Displaced dome fracture of unsp acetabulum, init for clos fx"
S32483B,"Displaced dome fracture of unsp acetabulum, init for opn fx"
S32483D,"Displaced dome fx unsp acetabulum, subs for fx w routn heal"
S32483G,"Displaced dome fx unsp acetabulum, subs for fx w delay heal"
S32483K,"Displaced dome fx unsp acetabulum, subs for fx w nonunion"
S32483S,"Displaced dome fracture of unspecified acetabulum, sequela"
S32484A,"Nondisplaced dome fracture of right acetabulum, init"
S32484B,"Nondisp dome fracture of right acetabulum, init for opn fx"
S32484D,"Nondisp dome fx right acetabulum, subs for fx w routn heal"
S32484G,"Nondisp dome fx right acetabulum, subs for fx w delay heal"
S32484K,"Nondisp dome fx right acetabulum, subs for fx w nonunion"
S32484S,"Nondisplaced dome fracture of right acetabulum, sequela"
S32485A,"Nondisplaced dome fracture of left acetabulum, init"
S32485B,"Nondisp dome fracture of left acetabulum, init for opn fx"
S32485D,"Nondisp dome fx left acetabulum, subs for fx w routn heal"
S32485G,"Nondisp dome fx left acetabulum, subs for fx w delay heal"
S32485K,"Nondisp dome fx left acetabulum, subs for fx w nonunion"
S32485S,"Nondisplaced dome fracture of left acetabulum, sequela"
S32486A,"Nondisplaced dome fracture of unsp acetabulum, init"
S32486B,"Nondisp dome fracture of unsp acetabulum, init for opn fx"
S32486D,"Nondisp dome fx unsp acetabulum, subs for fx w routn heal"
S32486G,"Nondisp dome fx unsp acetabulum, subs for fx w delay heal"
S32486K,"Nondisp dome fx unsp acetabulum, subs for fx w nonunion"
S32486S,"Nondisplaced dome fracture of unsp acetabulum, sequela"
S32491A,"Oth fracture of right acetabulum, init for clos fx"
S32491B,"Oth fracture of right acetabulum, init for opn fx"
S32491D,"Oth fracture of right acetabulum, subs for fx w routn heal"
S32491G,"Oth fracture of right acetabulum, subs for fx w delay heal"
S32491K,"Oth fracture of right acetabulum, subs for fx w nonunion"
S32491S,"Other specified fracture of right acetabulum, sequela"
S32492A,"Oth fracture of left acetabulum, init for clos fx"
S32492B,"Oth fracture of left acetabulum, init for opn fx"
S32492D,"Oth fracture of left acetabulum, subs for fx w routn heal"
S32492G,"Oth fracture of left acetabulum, subs for fx w delay heal"
S32492K,"Oth fracture of left acetabulum, subs for fx w nonunion"
S32492S,"Other specified fracture of left acetabulum, sequela"
S32499A,"Oth fracture of unsp acetabulum, init for clos fx"
S32499B,"Oth fracture of unsp acetabulum, init for opn fx"
S32499D,"Oth fracture of unsp acetabulum, subs for fx w routn heal"
S32499G,"Oth fracture of unsp acetabulum, subs for fx w delay heal"
S32499K,"Oth fracture of unsp acetabulum, subs for fx w nonunion"
S32499S,"Other specified fracture of unspecified acetabulum, sequela"
S32501A,"Unsp fracture of right pubis, init for clos fx"
S32501B,"Unsp fracture of right pubis, init encntr for open fracture"
S32501D,"Unsp fracture of right pubis, subs for fx w routn heal"
S32501G,"Unsp fracture of right pubis, subs for fx w delay heal"
S32501K,"Unsp fracture of right pubis, subs for fx w nonunion"
S32501S,"Unspecified fracture of right pubis, sequela"
S32502A,"Unsp fracture of left pubis, init encntr for closed fracture"
S32502B,"Unsp fracture of left pubis, init encntr for open fracture"
S32502D,"Unsp fracture of left pubis, subs for fx w routn heal"
S32502G,"Unsp fracture of left pubis, subs for fx w delay heal"
S32502K,"Unsp fracture of left pubis, subs for fx w nonunion"
S32502S,"Unspecified fracture of left pubis, sequela"
S32509A,"Unsp fracture of unsp pubis, init encntr for closed fracture"
S32509B,"Unsp fracture of unsp pubis, init encntr for open fracture"
S32509D,"Unsp fracture of unsp pubis, subs for fx w routn heal"
S32509G,"Unsp fracture of unsp pubis, subs for fx w delay heal"
S32509K,"Unsp fracture of unsp pubis, subs for fx w nonunion"
S32509S,"Unspecified fracture of unspecified pubis, sequela"
S32511A,"Fracture of superior rim of right pubis, init for clos fx"
S32511B,"Fracture of superior rim of right pubis, init for opn fx"
S32511D,"Fx superior rim of right pubis, subs for fx w routn heal"
S32511G,"Fx superior rim of right pubis, subs for fx w delay heal"
S32511K,"Fx superior rim of right pubis, subs for fx w nonunion"
S32511S,"Fracture of superior rim of right pubis, sequela"
S32512A,"Fracture of superior rim of left pubis, init for clos fx"
S32512B,"Fracture of superior rim of left pubis, init for opn fx"
S32512D,"Fx superior rim of left pubis, subs for fx w routn heal"
S32512G,"Fx superior rim of left pubis, subs for fx w delay heal"
S32512K,"Fx superior rim of left pubis, subs for fx w nonunion"
S32512S,"Fracture of superior rim of left pubis, sequela"
S32519A,"Fracture of superior rim of unsp pubis, init for clos fx"
S32519B,"Fracture of superior rim of unsp pubis, init for opn fx"
S32519D,"Fx superior rim of unsp pubis, subs for fx w routn heal"
S32519G,"Fx superior rim of unsp pubis, subs for fx w delay heal"
S32519K,"Fx superior rim of unsp pubis, subs for fx w nonunion"
S32519S,"Fracture of superior rim of unspecified pubis, sequela"
S32591A,"Oth fracture of right pubis, init encntr for closed fracture"
S32591B,"Oth fracture of right pubis, init encntr for open fracture"
S32591D,"Oth fracture of right pubis, subs for fx w routn heal"
S32591G,"Oth fracture of right pubis, subs for fx w delay heal"
S32591K,"Oth fracture of right pubis, subs for fx w nonunion"
S32591S,"Other specified fracture of right pubis, sequela"
S32592A,"Oth fracture of left pubis, init encntr for closed fracture"
S32592B,"Oth fracture of left pubis, init encntr for open fracture"
S32592D,"Oth fracture of left pubis, subs for fx w routn heal"
S32592G,"Oth fracture of left pubis, subs for fx w delay heal"
S32592K,"Oth fracture of left pubis, subs for fx w nonunion"
S32592S,"Other specified fracture of left pubis, sequela"
S32599A,"Oth fracture of unsp pubis, init encntr for closed fracture"
S32599B,"Oth fracture of unsp pubis, init encntr for open fracture"
S32599D,"Oth fracture of unsp pubis, subs for fx w routn heal"
S32599G,"Oth fracture of unsp pubis, subs for fx w delay heal"
S32599K,"Oth fracture of unsp pubis, subs for fx w nonunion"
S32599S,"Other specified fracture of unspecified pubis, sequela"
S32601A,"Unsp fracture of right ischium, init for clos fx"
S32601B,"Unsp fracture of right ischium, init for opn fx"
S32601D,"Unsp fracture of right ischium, subs for fx w routn heal"
S32601G,"Unsp fracture of right ischium, subs for fx w delay heal"
S32601K,"Unsp fracture of right ischium, subs for fx w nonunion"
S32601S,"Unspecified fracture of right ischium, sequela"
S32602A,"Unsp fracture of left ischium, init for clos fx"
S32602B,"Unsp fracture of left ischium, init encntr for open fracture"
S32602D,"Unsp fracture of left ischium, subs for fx w routn heal"
S32602G,"Unsp fracture of left ischium, subs for fx w delay heal"
S32602K,"Unsp fracture of left ischium, subs for fx w nonunion"
S32602S,"Unspecified fracture of left ischium, sequela"
S32609A,"Unsp fracture of unsp ischium, init for clos fx"
S32609B,"Unsp fracture of unsp ischium, init encntr for open fracture"
S32609D,"Unsp fracture of unsp ischium, subs for fx w routn heal"
S32609G,"Unsp fracture of unsp ischium, subs for fx w delay heal"
S32609K,"Unsp fracture of unsp ischium, subs for fx w nonunion"
S32609S,"Unspecified fracture of unspecified ischium, sequela"
S32611A,"Displaced avulsion fracture of right ischium, init"
S32611B,"Displaced avulsion fx right ischium, init for opn fx"
S32611D,"Displ avulsion fx right ischium, subs for fx w routn heal"
S32611G,"Displ avulsion fx right ischium, subs for fx w delay heal"
S32611K,"Displaced avulsion fx right ischium, subs for fx w nonunion"
S32611S,"Displaced avulsion fracture of right ischium, sequela"
S32612A,"Displaced avulsion fracture of left ischium, init"
S32612B,"Displaced avulsion fracture of left ischium, init for opn fx"
S32612D,"Displaced avulsion fx left ischium, subs for fx w routn heal"
S32612G,"Displaced avulsion fx left ischium, subs for fx w delay heal"
S32612K,"Displaced avulsion fx left ischium, subs for fx w nonunion"
S32612S,"Displaced avulsion fracture of left ischium, sequela"
S32613A,"Displaced avulsion fracture of unsp ischium, init"
S32613B,"Displaced avulsion fracture of unsp ischium, init for opn fx"
S32613D,"Displaced avulsion fx unsp ischium, subs for fx w routn heal"
S32613G,"Displaced avulsion fx unsp ischium, subs for fx w delay heal"
S32613K,"Displaced avulsion fx unsp ischium, subs for fx w nonunion"
S32613S,"Displaced avulsion fracture of unspecified ischium, sequela"
S32614A,"Nondisplaced avulsion fracture of right ischium, init"
S32614B,"Nondisp avulsion fracture of right ischium, init for opn fx"
S32614D,"Nondisp avulsion fx right ischium, subs for fx w routn heal"
S32614G,"Nondisp avulsion fx right ischium, subs for fx w delay heal"
S32614K,"Nondisp avulsion fx right ischium, subs for fx w nonunion"
S32614S,"Nondisplaced avulsion fracture of right ischium, sequela"
S32615A,"Nondisplaced avulsion fracture of left ischium, init"
S32615B,"Nondisp avulsion fracture of left ischium, init for opn fx"
S32615D,"Nondisp avulsion fx left ischium, subs for fx w routn heal"
S32615G,"Nondisp avulsion fx left ischium, subs for fx w delay heal"
S32615K,"Nondisp avulsion fx left ischium, subs for fx w nonunion"
S32615S,"Nondisplaced avulsion fracture of left ischium, sequela"
S32616A,"Nondisplaced avulsion fracture of unsp ischium, init"
S32616B,"Nondisp avulsion fracture of unsp ischium, init for opn fx"
S32616D,"Nondisp avulsion fx unsp ischium, subs for fx w routn heal"
S32616G,"Nondisp avulsion fx unsp ischium, subs for fx w delay heal"
S32616K,"Nondisp avulsion fx unsp ischium, subs for fx w nonunion"
S32616S,"Nondisplaced avulsion fracture of unsp ischium, sequela"
S32691A,"Oth fracture of right ischium, init for clos fx"
S32691B,"Oth fracture of right ischium, init encntr for open fracture"
S32691D,"Oth fracture of right ischium, subs for fx w routn heal"
S32691G,"Oth fracture of right ischium, subs for fx w delay heal"
S32691K,"Oth fracture of right ischium, subs for fx w nonunion"
S32691S,"Other specified fracture of right ischium, sequela"
S32692A,"Oth fracture of left ischium, init for clos fx"
S32692B,"Oth fracture of left ischium, init encntr for open fracture"
S32692D,"Oth fracture of left ischium, subs for fx w routn heal"
S32692G,"Oth fracture of left ischium, subs for fx w delay heal"
S32692K,"Oth fracture of left ischium, subs for fx w nonunion"
S32692S,"Other specified fracture of left ischium, sequela"
S32699A,"Oth fracture of unsp ischium, init for clos fx"
S32699B,"Oth fracture of unsp ischium, init encntr for open fracture"
S32699D,"Oth fracture of unsp ischium, subs for fx w routn heal"
S32699G,"Oth fracture of unsp ischium, subs for fx w delay heal"
S32699K,"Oth fracture of unsp ischium, subs for fx w nonunion"
S32699S,"Other specified fracture of unspecified ischium, sequela"
S32810A,"Multiple fx of pelvis w stable disrupt of pelvic ring, init"
S32810B,"Mult fx of pelv w stable disrupt of pelv ring, 7thB"
S32810D,"Mult fx of pelv w stable disrupt of pelv ring, 7thD"
S32810G,"Mult fx of pelv w stable disrupt of pelv ring, 7thG"
S32810K,"Mult fx of pelv w stable disrupt of pelv ring, 7thK"
S32810S,"Mult fx of pelvis w stable disrupt of pelvic ring, sequela"
S32811A,"Mult fx of pelvis w unstable disrupt of pelvic ring, init"
S32811B,"Mult fx of pelv w unstbl disrupt of pelv ring, 7thB"
S32811D,"Mult fx of pelv w unstbl disrupt of pelv ring, 7thD"
S32811G,"Mult fx of pelv w unstbl disrupt of pelv ring, 7thG"
S32811K,"Mult fx of pelv w unstbl disrupt of pelv ring, 7thK"
S32811S,"Mult fx of pelvis w unstable disrupt of pelvic ring, sequela"
S3282XA,"Multiple fx of pelvis w/o disrupt of pelvic ring, init"
S3282XB,"Mult fx of pelvis w/o disrupt of pelv ring, init for opn fx"
S3282XD,"Mult fx of pelv w/o disrupt of pelv ring, 7thD"
S3282XG,"Mult fx of pelv w/o disrupt of pelv ring, 7thG"
S3282XK,"Mult fx of pelv w/o disrupt of pelv ring, 7thK"
S3282XS,"Multiple fx of pelvis w/o disrupt of pelvic ring, sequela"
S3289XA,"Fracture of oth parts of pelvis, init for clos fx"
S3289XB,"Fracture of oth parts of pelvis, init for opn fx"
S3289XD,"Fracture of oth parts of pelvis, subs for fx w routn heal"
S3289XG,"Fracture of oth parts of pelvis, subs for fx w delay heal"
S3289XK,"Fracture of oth parts of pelvis, subs for fx w nonunion"
S3289XS,"Fracture of other parts of pelvis, sequela"
S329XXA,"Fracture of unsp parts of lumbosacral spine and pelvis, init"
S329XXB,"Fx unsp parts of lumbosacral spine & pelvis, init for opn fx"
S329XXD,"Fx unsp parts of lumbosacr spin & pelv, 7thD"
S329XXG,"Fx unsp parts of lumbosacr spin & pelv, 7thG"
